context,sigma_ext,delta_theta,theta0,theta_left_target,theta_right_target,eps_left,eps_right,theta_left,theta_right,repeat,shared_noise,left_clipped,right_clipped,effective_delta,correct_right,response_key,choose_right,is_correct,trial_index,sigma_target,sigma_internal
redder,0.10275861980572237,0.14,-0.7853981633974483,-0.8553981633974483,-0.7153981633974482,0.015395430102254888,-0.08973975761799577,-0.8400027332951935,-0.805137921015444,4,False,False,False,0.14,True,right,1,1,0,0.15,0.10927335473766238
redder,0.16750920555114876,-0.14,-0.7853981633974483,-0.7153981633974482,-0.8553981633974483,0.30316289764693577,0.09970247727468888,-0.41223526575051245,-0.7556956861227595,2,False,False,False,-0.14,False,left,0,1,1,0.2,0.10927335473766238
redder,0.16750920555114876,0.14,-0.7853981633974483,-0.8553981633974483,-0.7153981633974482,0.14962269393835567,0.11800219428198111,-0.7057754694590926,-0.5973959691154671,4,False,False,False,0.14,True,right,1,1,2,0.2,0.10927335473766238
redder,0.10275861980572237,0.2,-0.7853981633974483,-0.8853981633974483,-0.6853981633974483,0.04675663869441719,-0.1751629970655786,-0.8386415247030311,-0.8605611604630269,1,False,False,False,0.2,True,left,0,0,3,0.15,0.10927335473766238
redder,0.10275861980572237,0.04,-0.7853981633974483,-0.8053981633974483,-0.7653981633974483,-0.013084750386200012,-0.12009486673404486,-0.8184829137836483,-0.8854930301314932,3,False,False,False,0.04,True,right,1,1,4,0.15,0.10927335473766238
redder,0.16750920555114876,0.08,-0.7853981633974483,-0.8253981633974483,-0.7453981633974482,0.15082529747299045,0.20441107375390083,-0.6745728659244579,-0.5409870896435474,2,False,False,False,0.08,True,right,1,1,5,0.2,0.10927335473766238
redder,0.16750920555114876,-0.04,-0.7853981633974483,-0.7653981633974483,-0.8053981633974483,-0.033658225012023,-0.13818709102200538,-0.7990563884094712,-0.9435852544194536,3,False,False,False,-0.04,False,left,0,1,6,0.2,0.10927335473766238
redder,0.10275861980572237,-0.08,-0.7853981633974483,-0.7453981633974482,-0.8253981633974483,0.014715256789212976,-0.07643057717125204,-0.7306829066082353,-0.9018287405687003,3,False,False,False,-0.08,False,left,0,1,7,0.15,0.10927335473766238
redder,0.10275861980572237,0.08,-0.7853981633974483,-0.8253981633974483,-0.7453981633974482,-0.10818299270514649,-0.13326036786319956,-0.9335811561025948,-0.8786585312606479,2,False,False,False,0.08,True,right,1,1,8,0.15,0.10927335473766238
redder,0.10275861980572237,-0.04,-0.7853981633974483,-0.7653981633974483,-0.8053981633974483,-0.08904788228287028,-0.06034738310046867,-0.8544460456803186,-0.865745546497917,2,False,False,False,-0.04,False,left,0,1,9,0.15,0.10927335473766238
redder,0.16750920555114876,-0.2,-0.7853981633974483,-0.6853981633974483,-0.8853981633974483,0.14211930087758176,0.0339079355910153,-0.5432788625198666,-0.8514902278064329,3,False,False,False,-0.2,False,left,0,1,10,0.2,0.10927335473766238
redder,0.16750920555114876,-0.04,-0.7853981633974483,-0.7653981633974483,-0.8053981633974483,-0.15412139527266924,-0.30415653578517143,-0.9195195586701175,-1.1095546991826197,1,False,False,False,-0.04,False,left,0,1,11,0.2,0.10927335473766238
redder,0.16750920555114876,0.04,-0.7853981633974483,-0.8053981633974483,-0.7653981633974483,0.10957191232277158,-0.35712743217135484,-0.6958262510746767,-1.1225255955688032,4,False,False,False,0.04,True,left,0,0,12,0.2,0.10927335473766238
redder,0.16750920555114876,0.08,-0.7853981633974483,-0.8253981633974483,-0.7453981633974482,-0.14592979894088626,-0.02749424926399061,-0.9713279623383346,-0.7728924126614388,4,False,False,False,0.08,True,right,1,1,13,0.2,0.10927335473766238
redder,0.10275861980572237,-0.2,-0.7853981633974483,-0.6853981633974483,-0.8853981633974483,-0.13633645298213684,-0.04906578429738034,-0.8217346163795851,-0.9344639476948285,5,False,False,False,-0.2,False,left,0,1,14,0.15,0.10927335473766238
redder,0.16750920555114876,0.04,-0.7853981633974483,-0.8053981633974483,-0.7653981633974483,-0.21230362418074045,-0.21901958002276634,-1.0177017875781886,-0.9844177434202146,2,False,False,False,0.04,True,right,1,1,15,0.2,0.10927335473766238
redder,0.16750920555114876,-0.08,-0.7853981633974483,-0.7453981633974482,-0.8253981633974483,-0.216287342645451,0.012126320121710844,-0.9616855060428993,-0.8132718432757374,3,False,False,False,-0.08,False,right,1,0,16,0.2,0.10927335473766238
redder,0.10275861980572237,-0.08,-0.7853981633974483,-0.7453981633974482,-0.8253981633974483,0.11612832755880398,-0.09274253560749797,-0.6292698358386443,-0.9181406990049463,4,False,False,False,-0.08,False,left,0,1,17,0.15,0.10927335473766238
redder,0.10275861980572237,-0.14,-0.7853981633974483,-0.7153981633974482,-0.8553981633974483,0.050851487247600746,0.021284441537392874,-0.6645466761498475,-0.8341137218600555,1,False,False,False,-0.14,False,left,0,1,18,0.15,0.10927335473766238
redder,0.10275861980572237,0.08,-0.7853981633974483,-0.8253981633974483,-0.7453981633974482,0.06865662427406133,-0.2289019641618681,-0.7567415391233869,-0.9743001275593164,4,False,False,False,0.08,True,left,0,0,19,0.15,0.10927335473766238
redder,0.16750920555114876,-0.08,-0.7853981633974483,-0.7453981633974482,-0.8253981633974483,0.00090087402979105,-0.2396774460266205,-0.7444972893676572,-1.0650756094240688,2,False,False,False,-0.08,False,left,0,1,20,0.2,0.10927335473766238
redder,0.10275861980572237,-0.2,-0.7853981633974483,-0.6853981633974483,-0.8853981633974483,0.03143401421185992,0.018574979170638026,-0.6539641491855884,-0.8668231842268103,0,False,False,False,-0.2,False,left,0,1,21,0.15,0.10927335473766238
