context,sigma_ext,delta_theta,theta0,theta_left_target,theta_right_target,eps_left,eps_right,theta_left,theta_right,repeat,shared_noise,left_clipped,right_clipped,effective_delta,correct_right,response_key,choose_right,is_correct,trial_index,sigma_target,sigma_internal
redder,0.11124751738793805,0.08,-0.7853981633974483,-0.8253981633974483,-0.7453981633974482,-0.03228317679352451,0.05789749271158491,-0.8576813401909729,-0.6875006706858633,3,False,False,False,0.08,True,right,1,1,0,0.15,0.10061803951091684
redder,0.11124751738793805,-0.08,-0.7853981633974483,-0.7453981633974482,-0.8253981633974483,0.15737526764141746,0.03340992861097153,-0.5880228957560307,-0.7919882347864768,5,False,False,False,-0.08,False,left,0,1,1,0.15,0.10061803951091684
redder,0.17284678222338876,-0.08,-0.7853981633974483,-0.7453981633974482,-0.8253981633974483,0.17064429021335084,-0.20348731550779117,-0.5747538731840974,-1.0288854789052395,1,False,False,False,-0.08,False,left,0,1,2,0.2,0.10061803951091684
redder,0.17284678222338876,-0.08,-0.7853981633974483,-0.7453981633974482,-0.8253981633974483,-0.025951362708644073,-0.02816327296739087,-0.7713495261060923,-0.8535614363648392,4,False,False,False,-0.08,False,left,0,1,3,0.2,0.10061803951091684
redder,0.11124751738793805,0.14,-0.7853981633974483,-0.8553981633974483,-0.7153981633974482,0.09010012238115901,-0.018708724277496144,-0.7652980410162893,-0.7341068876749444,5,False,False,False,0.14,True,right,1,1,4,0.15,0.10061803951091684
redder,0.17284678222338876,0.08,-0.7853981633974483,-0.8253981633974483,-0.7453981633974482,-0.16073297433584333,-0.17705101409719654,-0.9861311377332916,-0.9224491774946448,0,False,False,False,0.08,True,right,1,1,5,0.2,0.10061803951091684
redder,0.17284678222338876,0.2,-0.7853981633974483,-0.8853981633974483,-0.6853981633974483,-0.2244129077222646,-0.31271551262474406,-1.1098110711197129,-0.9981136760221924,4,False,False,False,0.2,True,right,1,1,6,0.2,0.10061803951091684
redder,0.11124751738793805,-0.14,-0.7853981633974483,-0.7153981633974482,-0.8553981633974483,-0.07483922370941279,-0.02408605338316251,-0.790237387106861,-0.8794842167806108,0,False,False,False,-0.14,False,left,0,1,7,0.15,0.10061803951091684
redder,0.11124751738793805,-0.14,-0.7853981633974483,-0.7153981633974482,-0.8553981633974483,-0.09176301010420841,-0.06330234745527362,-0.8071611735016566,-0.918700510852722,3,False,False,False,-0.14,False,right,1,0,8,0.15,0.10061803951091684
redder,0.11124751738793805,0.2,-0.7853981633974483,-0.8853981633974483,-0.6853981633974483,0.17515718201456737,0.11796346570055823,-0.7102409813828809,-0.56743469769689,0,False,False,False,0.2,True,right,1,1,9,0.15,0.10061803951091684
redder,0.11124751738793805,-0.2,-0.7853981633974483,-0.6853981633974483,-0.8853981633974483,-0.03559179413330765,-0.10835906756840194,-0.7209899575307559,-0.9937572309658502,4,False,False,False,-0.2,False,left,0,1,10,0.15,0.10061803951091684
redder,0.17284678222338876,0.08,-0.7853981633974483,-0.8253981633974483,-0.7453981633974482,0.09019243169600424,0.06866289439938239,-0.7352057317014441,-0.6767352689980659,3,False,False,False,0.08,True,right,1,1,11,0.2,0.10061803951091684
redder,0.17284678222338876,-0.14,-0.7853981633974483,-0.7153981633974482,-0.8553981633974483,-0.034977826664071794,0.11657631062591381,-0.75037599006152,-0.7388218527715346,4,False,False,False,-0.14,False,right,1,0,12,0.2,0.10061803951091684
redder,0.11124751738793805,0.2,-0.7853981633974483,-0.8853981633974483,-0.6853981633974483,-0.023088089133281163,-0.1281505633238804,-0.9084862525307295,-0.8135487267213287,1,False,False,False,0.2,True,right,1,1,13,0.15,0.10061803951091684
redder,0.17284678222338876,0.08,-0.7853981633974483,-0.8253981633974483,-0.7453981633974482,0.10426151495855046,-0.07506525301182276,-0.7211366484388979,-0.820463416409271,5,False,False,False,0.08,True,left,0,0,14,0.2,0.10061803951091684
redder,0.11124751738793805,0.08,-0.7853981633974483,-0.8253981633974483,-0.7453981633974482,-0.11428496064245354,0.12973346478511727,-0.9396831240399018,-0.615664698612331,0,False,False,False,0.08,True,right,1,1,15,0.15,0.10061803951091684
redder,0.17284678222338876,0.08,-0.7853981633974483,-0.8253981633974483,-0.7453981633974482,0.3468258145282229,-0.15692046957804448,-0.4785723488692254,-0.9023186329754928,4,False,False,False,0.08,True,left,0,0,16,0.2,0.10061803951091684
redder,0.17284678222338876,0.14,-0.7853981633974483,-0.8553981633974483,-0.7153981633974482,-0.05464186750273366,0.054089153791114716,-0.910040030900182,-0.6613090096063335,4,False,False,False,0.14,True,right,1,1,17,0.2,0.10061803951091684
redder,0.11124751738793805,-0.08,-0.7853981633974483,-0.7453981633974482,-0.8253981633974483,0.2312914595460749,0.05342084298189394,-0.5141067038513734,-0.7719773204155543,2,False,False,False,-0.08,False,left,0,1,18,0.15,0.10061803951091684
redder,0.11124751738793805,0.08,-0.7853981633974483,-0.8253981633974483,-0.7453981633974482,-0.043489125084492236,0.17173970304061337,-0.8688872884819405,-0.5736584603568349,2,False,False,False,0.08,True,right,1,1,19,0.15,0.10061803951091684
redder,0.11124751738793805,-0.04,-0.7853981633974483,-0.7653981633974483,-0.8053981633974483,-0.10123004413327856,-0.024213271681969916,-0.8666282075307268,-0.8296114350794183,1,False,False,False,-0.04,False,right,1,0,20,0.15,0.10061803951091684
redder,0.17284678222338876,0.04,-0.7853981633974483,-0.8053981633974483,-0.7653981633974483,0.006578982015302072,-0.16779794366782477,-0.7988191813821462,-0.933196107065273,4,False,False,False,0.04,True,left,0,0,21,0.2,0.10061803951091684
redder,0.11124751738793805,0.2,-0.7853981633974483,-0.8853981633974483,-0.6853981633974483,-0.07255002129601143,0.2804567935379702,-0.9579481846934597,-0.4049413698594781,4,False,False,False,0.2,True,right,1,1,22,0.15,0.10061803951091684
